entrez,symbol,term_id,term_name,source
266977,ADGRF1,CXXX,No diseases associated,PSYGENET
222611,ADGRF2,CXXX,No diseases associated,PSYGENET
165082,ADGRF3,CXXX,No diseases associated,PSYGENET
221393,ADGRF4,CXXX,No diseases associated,PSYGENET
221395,ADGRF5,CXXX,No diseases associated,PSYGENET
9289,ADGRG1,CXXX,No diseases associated,PSYGENET
10149,ADGRG2,CXXX,No diseases associated,PSYGENET
222487,ADGRG3,CXXX,No diseases associated,PSYGENET
139378,ADGRG4,CXXX,No diseases associated,PSYGENET
221188,ADGRG5,CXXX,No diseases associated,PSYGENET
57211,ADGRG6,CXXX,No diseases associated,PSYGENET
84873,ADGRG7,CXXX,No diseases associated,PSYGENET
22859,ADGRL1,CXXX,No diseases associated,PSYGENET
23266,ADGRL2,CXXX,No diseases associated,PSYGENET
23284,ADGRL3,CXXX,No diseases associated,PSYGENET
84059,ADGRV1,CXXX,No diseases associated,PSYGENET
137872,ADHFE1,CXXX,No diseases associated,PSYGENET
55256,ADI1,CXXX,No diseases associated,PSYGENET
149685,ADIG,CXXX,No diseases associated,PSYGENET
9370,ADIPOQ,CXXX,No diseases associated,PSYGENET
51094,ADIPOR1,CXXX,No diseases associated,PSYGENET
79602,ADIPOR2,CXXX,No diseases associated,PSYGENET
10974,ADIRF,CXXX,No diseases associated,PSYGENET
79924,ADM2,CXXX,No diseases associated,PSYGENET
199800,ADM5,CXXX,No diseases associated,PSYGENET
84890,ADO,CXXX,No diseases associated,PSYGENET
136,ADORA2B,CXXX,No diseases associated,PSYGENET
140,ADORA3,CXXX,No diseases associated,PSYGENET
83440,ADPGK,CXXX,No diseases associated,PSYGENET
141,ADPRH,CXXX,No diseases associated,PSYGENET
113622,ADPRHL1,CXXX,No diseases associated,PSYGENET
56985,ADPRM,CXXX,No diseases associated,PSYGENET
54936,ADPRS,CXXX,No diseases associated,PSYGENET
147,ADRA1B,CXXX,No diseases associated,PSYGENET
146,ADRA1D,CXXX,No diseases associated,PSYGENET
151,ADRA2B,CXXX,No diseases associated,PSYGENET
155,ADRB3,CXXX,No diseases associated,PSYGENET
11047,ADRM1,CXXX,No diseases associated,PSYGENET
158,ADSL,CXXX,No diseases associated,PSYGENET
122622,ADSS1,CXXX,No diseases associated,PSYGENET
84830,ADTRP,CXXX,No diseases associated,PSYGENET
165,AEBP1,CXXX,No diseases associated,PSYGENET
