entrez,symbol,term_id,term_name,source
1523,CUX1,C0151779,Cutaneous Melanoma,CGI
1523,CUX1,C0346191,Carcinoma in situ of endometrium,CGI
1523,CUX1,C0476089,Endometrial Carcinoma,CGI
1523,CUX1,C1319315,Adenocarcinoma of large intestine,CGI
1540,CYLD,C0278996,Malignant Head and Neck Neoplasm,CGI
1540,CYLD,C3887461,Head and Neck Carcinoma,CGI
1616,DAXX,C0017636,Glioblastoma,CGI
1616,DAXX,C1328479,Pancreatic Endocrine Carcinoma,CGI
1630,DCC,C0152018,Esophageal carcinoma,CGI
1630,DCC,C0153942,Benign neoplasm of esophagus,CGI
1630,DCC,C0154059,Carcinoma in situ of esophagus,CGI
1630,DCC,C0546837,Malignant neoplasm of esophagus,CGI
1630,DCC,C1319315,Adenocarcinoma of large intestine,CGI
1643,DDB2,C0007117,Basal cell carcinoma,CGI
1643,DDB2,C0007137,Squamous cell carcinoma,CGI
1643,DDB2,C0025202,melanoma,CGI
1643,DDB2,C0151779,Cutaneous Melanoma,CGI
1785,DNM2,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,CGI
1788,DNMT3A,C0023467,"Leukemia, Myelocytic, Acute",CGI
1956,EGFR,C0007103,Malignant neoplasm of endometrium,CGI
1956,EGFR,C0007112,Adenocarcinoma of prostate,CGI
1956,EGFR,C0007131,Non-Small Cell Lung Carcinoma,CGI
1956,EGFR,C0017636,Glioblastoma,CGI
1956,EGFR,C0017638,Glioma,CGI
1956,EGFR,C0149782,Squamous cell carcinoma of lung,CGI
1956,EGFR,C0152013,Adenocarcinoma of lung (disorder),CGI
1956,EGFR,C0152018,Esophageal carcinoma,CGI
1956,EGFR,C0153633,Malignant neoplasm of brain,CGI
1956,EGFR,C0153942,Benign neoplasm of esophagus,CGI
1956,EGFR,C0154059,Carcinoma in situ of esophagus,CGI
1956,EGFR,C0242379,Malignant neoplasm of lung,CGI
1956,EGFR,C0278996,Malignant Head and Neck Neoplasm,CGI
1956,EGFR,C0279626,Squamous cell carcinoma of esophagus,CGI
1956,EGFR,C0346191,Carcinoma in situ of endometrium,CGI
1956,EGFR,C0349566,Squamous cell carcinoma of tongue,CGI
1956,EGFR,C0476089,Endometrial Carcinoma,CGI
1956,EGFR,C0546837,Malignant neoplasm of esophagus,CGI
1956,EGFR,C0684249,Carcinoma of lung,CGI
1956,EGFR,C1153706,Endometrial adenocarcinoma,CGI
1956,EGFR,C1168401,Squamous cell carcinoma of the head and neck,CGI
1956,EGFR,C1319315,Adenocarcinoma of large intestine,CGI
1956,EGFR,C3887461,Head and Neck Carcinoma,CGI
1969,EPHA2,C0149782,Squamous cell carcinoma of lung,CGI
2033,EP300,C0006142,Malignant neoplasm of breast,CGI
2033,EP300,C0023467,"Leukemia, Myelocytic, Acute",CGI
2033,EP300,C0030297,Pancreatic Neoplasm,CGI
2033,EP300,C0079744,Diffuse Large B-Cell Lymphoma,CGI
2033,EP300,C0235974,Pancreatic carcinoma,CGI
2033,EP300,C0346647,Malignant neoplasm of pancreas,CGI
2033,EP300,C0347284,Benign tumor of pancreas,CGI
2033,EP300,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
