entrez,symbol,term_id,term_name,source
2628,GATM,C2675179,Arginine:Glycine Amidinotransferase Deficiency,CLINGEN
2639,GCDH,C0268595,"Glutaric aciduria, type 1",CLINGEN
2664,GDI1,C3501611,"Mental Retardation, X-Linked Nonsyndromic",CLINGEN
2668,GDNF,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
2697,GJA1,C3711374,Nonsyndromic Deafness,CLINGEN
2706,GJB2,C1846647,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)",CLINGEN
2707,GJB3,C0265961,Erythrokeratodermia variabilis,CLINGEN
2707,GJB3,C3711374,Nonsyndromic Deafness,CLINGEN
2717,GLA,C0002986,Fabry Disease,CLINGEN
2719,GPC3,C0796154,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1",CLINGEN
2731,GLDC,C0751748,Nonketotic Hyperglycinemia,CLINGEN
2752,GLUL,C1864910,"Glutamine deficiency, congenital",CLINGEN
2775,GNAO1,C0393706,Early infantile epileptic encephalopathy with suppression bursts,CLINGEN
2775,GNAO1,C3463992,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1",CLINGEN
2775,GNAO1,C4552072,X-linked infantile spasms,CLINGEN
2812,GP1BB,C0005129,Bernard-Soulier Syndrome,CLINGEN
2815,GP9,C0005129,Bernard-Soulier Syndrome,CLINGEN
2892,GRIA3,C0796250,PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME,CLINGEN
2937,GSS,C0398746,Gluthathione synthetase deficiency,CLINGEN
2954,GSTZ1,C1291607,Deficiency of maleylacetoacetate isomerase,CLINGEN
2956,MSH6,C0265325,Turcot syndrome (disorder),CLINGEN
2956,MSH6,C0346153,"Breast Cancer, Familial",CLINGEN
2956,MSH6,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
2956,MSH6,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
2956,MSH6,C4321324,Constitutional Mismatch Repair Deficiency Syndrome,CLINGEN
2956,MSH6,C4552100,Lynch Syndrome,CLINGEN
